t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
13589.5,509.38927565460295,0.0,102400.20230612837,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13649.5,497.5034097199687,0.0,105550.15255380642,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13709.5,431.0659040373048,0.0,109217.07287485796,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13769.5,368.60988494921355,0.0,102105.99692573576,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13829.5,426.43043063229106,0.0,91209.32418978689,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13889.5,503.8054617666568,0.0,86785.27715893825,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13949.5,529.947029507022,0.0,87693.5383515638,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14009.5,617.5081450227141,0.0,93415.24697046074,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14069.5,527.283296129443,0.0,105281.52700283504,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14129.5,574.4460475710845,0.0,114909.24564067577,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14189.5,544.4943258345447,0.0,120949.82965339565,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14249.5,385.69156984090904,0.0,118319.30032495961,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14309.5,288.205311412249,0.0,103335.21980383893,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14369.5,264.36627977801083,0.0,84667.71766420426,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14429.5,288.7636830959538,0.0,68462.14927815498,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14489.5,318.64779219535717,0.0,51979.61608438473,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14549.5,391.59020994855877,0.0,45120.101178444,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14609.5,412.9404676586885,0.0,50157.546681851876,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14669.5,351.1344308304599,0.0,57602.23077418586,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14729.5,217.4611534831903,0.0,57357.89568993184,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14789.5,223.20107243326555,0.0,53084.20926505425,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14849.5,207.96907165617824,0.0,44139.310105149314,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14909.5,250.30502042803653,0.0,33269.79528947252,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
14969.5,339.47233186462955,0.0,26515.487131862745,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15029.5,370.78377336066546,0.0,32504.872409031555,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15089.5,313.1285978562793,0.0,39044.06533946608,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15149.5,269.8741774440535,0.0,43855.17868142864,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15209.5,302.47896775302286,0.0,47814.410926582736,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15269.5,292.29939783827587,0.0,48408.44365912515,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15329.5,308.5192445422947,0.0,44073.45190727162,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15389.5,312.89766394368877,0.0,42561.17139549801,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15449.5,355.9047943452425,0.0,45482.92854614314,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15509.5,386.58801151150664,0.0,50331.36468704457,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15569.5,454.2507363600081,0.0,57418.67716412471,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15629.5,505.9230400474384,0.0,67809.56540510266,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15689.5,585.8773300129461,0.0,83217.74924437662,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15749.5,459.77318351860686,0.0,94141.8544725332,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15809.5,444.40573961792705,0.0,99028.76419698076,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15869.5,428.73842426300064,0.0,99033.60295225239,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15929.5,438.59193852955576,0.0,98687.09915278816,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
15989.5,485.49285370336327,0.0,91469.12331128842,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16049.5,480.2556752389624,0.0,89913.22078890893,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16109.5,392.9037134272445,0.0,88787.97753908914,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16169.5,341.4768834356607,0.0,85990.29678446575,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16229.5,275.88267136695134,0.0,76875.03656402584,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16289.5,275.3857442287534,0.0,65227.993033950996,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16349.5,308.0063766051825,0.0,53538.323249740446,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16409.5,305.91219828741885,0.0,46046.693559022126,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16469.5,361.01232671126587,0.0,43330.76585536284,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16529.5,435.89814709006384,0.0,49671.79319078662,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16589.5,439.5870044892004,0.0,60258.170953263616,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16649.5,475.28481474159236,0.0,69914.1385488795,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16709.5,431.88482477686597,0.0,78528.79497577393,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16769.5,452.04692184177105,0.0,85045.57998973592,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16829.5,516.8499896069396,0.0,89160.6894189519,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16889.5,511.3205824504988,0.0,94936.95338329338,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
16949.5,498.3720779342228,0.0,96677.59743609888,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17009.5,544.3460050875971,0.0,101905.11457542029,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17069.5,471.07645858029804,0.0,106030.04581556786,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17129.5,486.0753527698008,0.0,105842.69318980369,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17189.5,547.6366471470963,0.0,105075.71571751399,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17249.5,551.6402942648252,0.0,108986.39928580678,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17309.5,655.2544985398898,0.0,112562.21975692334,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17369.5,658.7844681646774,0.0,122283.35122343694,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17429.5,584.5700308392295,0.0,130718.9028627679,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17489.5,586.2503928123017,0.0,134764.0380398322,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17549.5,521.5821179668119,0.0,134581.1824409229,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17609.5,447.84285589640854,0.0,128286.08420798279,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17669.5,356.7850603412025,0.0,112284.61931669243,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17729.5,402.211350127726,0.0,97458.65139464174,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17789.5,410.3970346875837,0.0,87701.5599391355,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17849.5,350.2592125876215,0.0,77234.32959449767,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17909.5,445.74118072304447,0.0,70976.230124943,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
17969.5,500.28345975259646,0.0,75749.8093560199,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18029.5,473.11190722621274,0.0,82480.8286692084,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18089.5,426.66833703295765,0.0,84446.99769702427,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18149.5,346.0382346732103,0.0,84711.84504738716,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18209.5,393.30481882837506,0.0,83603.88748155726,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18269.5,343.183525471586,0.0,76941.370727074,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18329.5,394.44224752687586,0.0,69822.48046040435,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18389.5,514.8825425440542,0.0,70303.16965691844,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18449.5,472.3741044171432,0.0,77453.80523380823,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18509.5,462.97752366623234,0.0,82413.20114754004,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18569.5,436.0792554151937,0.0,87968.5628510061,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18629.5,420.9459561335524,0.0,91645.29662680626,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18689.5,485.01528570914235,0.0,90897.06388644972,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18749.5,499.7929446200404,0.0,89660.80424388337,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18809.5,545.3485867143032,0.0,94916.05681493664,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18869.5,496.19615370820173,0.0,98669.53389557783,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18929.5,399.7242658783946,0.0,100813.62526520311,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
18989.5,338.4176841276203,0.0,94452.26902549934,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19049.5,406.3053446543287,0.0,88668.85496280465,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19109.5,453.13063221855117,0.0,81606.9842830994,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19169.5,457.04914011801543,0.0,78118.68511823262,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19229.5,459.7797709812221,0.0,77426.46507215149,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19289.5,385.78012340738434,0.0,82430.87142871074,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19349.5,291.1980669393141,0.0,80081.66037593447,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19409.5,258.2732453726222,0.0,70215.77692575684,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19469.5,407.72360622285095,0.0,62607.091449920925,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19529.5,542.8556804265348,0.0,64185.87885495657,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19589.5,592.2629345310362,0.0,72710.78979574093,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19649.5,730.0762975946204,0.0,91507.34218733336,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19709.5,630.4133871561876,0.0,118461.46716226498,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19769.5,521.9020855361553,0.0,131437.5296159615,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19829.5,495.55362220858564,0.0,133491.45684626454,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19889.5,458.59690820586417,0.0,128049.99549657147,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
19949.5,484.77921726161327,0.0,116024.61655712067,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20009.5,589.3879405444114,0.0,106139.83562407571,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20069.5,514.0451893882998,0.0,107368.02103802173,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20129.5,564.245423408466,0.0,108314.62376475272,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20189.5,559.0330690200682,0.0,113653.5278144614,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20249.5,449.0172473475776,0.0,116585.84920017149,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20309.5,380.3543848829868,0.0,109030.63785855529,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20369.5,311.62694476176404,0.0,94824.07285235268,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
