t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
23880,0.0,781.25,0,70095.38922991071,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
24000,0.0,0.0,0,48946.70758928571,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24120,0.0,0.0,0,30245.722556600766,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24240,0.0,0.0,0,18154.44012077487,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24360,0.0,0.0,0,21698.68313536352,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24480,0.0,0.0,0,14468.913175621812,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
24600,0.0,0.0,0,14503.946109693878,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24720,0.0,0.0,0,5060.032435825893,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24840,0.0,0.0,0,16148.189622528698,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24960,0.0,0.0,0,36341.60878706951,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25080,0.0,0.0,0,46938.15270248725,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
25200,0.0,0.0,0,57979.59931042729,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25320,0.0,0.0,0,60219.40270248724,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25440,0.0,0.0,0,52664.96307995854,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25560,0.0,0.0,0,31911.016970264667,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25680,0.0,0.0,0,14492.26846500319,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25800,0.0,0.0,0,0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
25920,0.0,0.0,0,5081.415759123676,0.0,21.383323297783036,-1.4210854715202004e-14,0.0,30.162901175900167,0.0,0.0,0.0
26040,0.0,781.25,0,17558.880241549745,0.0,8.363794774712503,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
26160,0.0,0.0,0,29835.85279815051,0.0,-1.7763568394002505e-14,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
