t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
14160,162.0919742624479,0.0,14639.740385470379,0,117.82668326109228,0.0,3.552713678800501e-12,71.11610449827293,0.0,0.2278839797044831,138.29331491993702,300
14280,73.91116957402906,0.0,9555.087135680917,0,127.21753590497268,0.0,3.97193389289896e-12,110.67048867147548,0.0,126.70705157202171,219.15800761776353,300
14400,68.3592050845395,0.0,0,0,183.7385008891962,0.0,3.993250174971763e-12,68.3592050845395,0.0,0.0,0.0,0.0
14520,92.72098695880038,0.0,0,0,2579.0632274000773,0.0,3.893774191965349e-12,92.72098695880038,0.0,0.0,0.0,0.0
14640,112.99401545306878,0.0,0,0,2916.8813036598817,0.0,3.723243935382925e-12,112.99401545306878,0.0,0.0,0.0,0.0
14760,62.79614079746317,0.0,0,2226.973553093112,1288.7567674491404,0.0,3.581135388230905e-12,62.796140797463174,0.0,0.0,0.0,0.0
14880,43.42195788811704,0.0,0,4453.947106186224,654.6228392638744,0.0,3.559819106158102e-12,43.42195788811704,0.0,0.0,0.0,0.0
15000,97.9931699713442,0.0,1718.594395151147,4453.947106186224,0.8693703466813762,0.0,3.510081114654895e-12,82.61288318143188,0.0,0.0,34.89490133345984,72
15120,69.72154213023946,0.0,5426.788379427569,0,23.37043687902286,0.0,3.538502824085299e-12,81.75866033239578,0.0,1.0,90.0256169188109,192
15240,81.85677562319732,0.0,9221.04541014688,0,0.005495585955188014,0.0,3.495870259939693e-12,23.36078496726183,0.0,0.0,142.8492619869416,300
15360,79.31335443683889,0.0,9205.935296788084,0,59.293132828641475,0.0,3.453237695794087e-12,59.293132828570606,0.0,0.9870552969703662,157.6344128517038,300
15480,86.89754622871125,0.0,5896.4681041799295,0,182.7860681631129,0.0,3.538502824085299e-12,124.39784470959808,0.0,90.42352339671332,208.70588614767482,300
15600,109.75897677018143,0.0,881.5348523962366,0,159.15514512077345,0.0,3.929301328753354e-12,171.5685198174541,0.0,154.87570723832465,264.7060333064793,300
