scheduler,scenario,seed,horizon_s,secure_goodput_bps,secrecy_outage_rate,rekey_events,mean_queue,mean_aos,max_aos,mean_z_l1,final_z_l1,max_z_edge,mean_lyapunov,final_lyapunov,key_inflow_bits,key_overflow_bits,key_overflow_frac,active_overflow_frac,pqc_utilisation,n_active_edges,weight_variant,k_max_bits,aos_T_a,load_scale,cg_mean_iters,cg_max_iters_used,cg_nonconverged,cg_gap_frac,cg_gap_max,key_blocked_edge_slots
aos_backpressure,coalition_partition,10,600,236831560.69546208,0.12,378,3118994837.1016665,7.708876208037533,234.40000327200076,13467074.516246801,63973907.40909665,14036004.07066461,1.062026488775167e+19,1.207352842985009e+19,4953951230.556372,1.74616416704001e-06,3.5247907897629844e-16,7.69846789268629e-16,0.3657020774918034,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,11,600,237635281.15569234,0.11966666666666667,383,2805622202.4783335,7.908674096395779,224.4618161430583,14375819.017453225,57928798.268632434,16468869.592050776,8.627850332045195e+18,9.82643369866637e+18,4960045881.934219,2.177472520736856e-06,4.390024956558928e-16,8.941858571704346e-16,0.3649160229810378,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,12,600,241267150.79906002,0.11966666666666667,398,2626922508.5983334,8.68978047388701,301.0355017965196,17419002.6952463,79010757.4421332,18499195.78592611,7.884793252653985e+18,2.6139769863747686e+18,4977119486.699539,1.8535773165240244e-06,3.724196940574519e-16,8.487047030354381e-16,0.3718946349382445,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,13,600,239169251.48476452,0.11933333333333333,380,2901620626.915,8.589020065163973,300.836348955681,15848465.550798712,70642816.07486974,15704613.570574235,9.292705804367987e+18,6.209434336478453e+18,4893959450.127318,1.6570865710718863e-06,3.3859834515563395e-16,8.344073107782549e-16,0.36501013913087266,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,14,600,237993402.79993734,0.11866666666666667,369,2768180270.265,7.430622530168489,155.43574517466575,13664845.797770567,57648907.68420587,16200749.742250934,8.463558022661325e+18,8.900003491725687e+18,4998551459.299428,2.2274625836608743e-06,4.456216169420139e-16,1.0108137899360432e-15,0.36992083952483,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,15,600,235919151.9946615,0.12366666666666666,406,3204755123.3233333,7.912910492991417,164.55851069278398,11797456.329325568,53455398.045287475,12440103.096193869,1.1080747191864404e+19,1.4891717842586218e+19,4938864111.568943,2.3445757149076485e-06,4.747196241774792e-16,1.0921200241243446e-15,0.36669059753803723,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,16,600,236255626.69052938,0.13833333333333334,451,2739164290.2366667,8.876801158681127,266.72412317645563,13045000.681043828,40267027.806058116,16146729.120348087,8.380722077348341e+18,1.3800196783699436e+19,4945582829.855494,1.8327507410216548e-06,3.7058336784043034e-16,7.483615356283306e-16,0.3716147217399681,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,17,600,241847801.58131552,0.115,388,2320581819.925,9.738822630806924,420.0,14133959.890880017,65825080.40953003,20961155.66818093,6.436539554661736e+18,1.8823009952867151e+18,4932831346.150059,1.921487985057091e-06,3.895304441245007e-16,9.53467105536209e-16,0.3697340858593194,26,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,18,600,237622085.91772705,0.11866666666666667,362,2720095867.1916666,8.357729563471894,260.22034324871345,14592911.485139469,60051194.46098173,16303596.712777335,8.005821846855499e+18,9.86381345611271e+18,4805236453.058911,1.7707603774397285e-06,3.685063981216783e-16,7.257483446117386e-16,0.3667054253297408,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,19,600,239376758.35028544,0.12033333333333333,377,2661814862.08,7.922218191810412,207.4351291957928,15298288.521547515,64196617.68704903,17384561.700532112,7.859293047801028e+18,5.767727133011199e+18,4890427764.315391,2.081373336809976e-06,4.2560148868722667e-16,8.90290467701995e-16,0.37451591154608455,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
