policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabelled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilisation,qkd_units,qkd_expired_frac,unroutable
fungible,nominal,4,0.25,1.0,0.0,781.25,19.284612977135296,0.9415070764126046,0.32377274508161796,0.07416057812665942,19.590491562993034,1.8066127922084474,28131.2353526499,1882570.5516741155,85.64233327854086,191669012.64377,27560937.5,1215000000.0,0.022683899176954733,208627073.22188863,0.9568843205267126,0
fungible,nominal,0,0.5,1.0,0.0,781.25,20.789416808390023,0.9289777758430148,0.6001202080462699,0.09374749107330688,23.14783470667109,1.9183324938003985,36007.49693496434,1401138.8348883756,62.01151535652944,348878152.5315632,27661718.75,1215000000.0,0.02276684670781893,210224734.5746984,0.9433830209277824,0
fungible,nominal,1,0.5,1.0,0.0,781.25,20.954743008314438,0.9385394708858776,0.5952282052438173,0.08420012129886242,19.999994715442245,1.8129057821856644,36697.31272976389,1302119.3740898098,61.62181096629562,507362203.13156253,25846093.75,1215000000.0,0.02127250514403292,211307693.1855664,0.9340940963681569,0
fungible,nominal,2,0.5,1.0,0.0,781.25,20.83094175170068,0.9395244355246551,0.5988845091344104,0.08346577154385795,19.920703854997097,1.764033421779282,38465.24690293174,1406700.3688645111,61.411086768206424,240532240.8515444,26354687.5,1215000000.0,0.02169110082304527,211056980.56281123,0.9374729041239919,0
fungible,nominal,3,0.5,1.0,0.0,781.25,20.900846797052157,0.9464935740736802,0.5970987443469054,0.0704671355616154,17.738208148231312,2.183139214178876,33171.58844787471,1355718.3435244586,63.51590055795929,499864098.1744509,25021875.0,1215000000.0,0.020594135802469136,210340685.52101672,0.9310200849612459,0
fungible,nominal,4,0.5,1.0,0.0,781.25,20.71077215608466,0.9204434491811869,0.6024971166827524,0.10806036936525158,25.620447563623294,1.9160732911348755,35241.376769337025,1424073.0956271093,63.08668817288502,404220897.67329836,27835156.25,1215000000.0,0.022909593621399178,208627073.22188863,0.9446523000735871,0
fungible,nominal,0,0.75,1.0,0.0,781.25,22.55106329962538,0.8917551791046364,0.8293853798088022,0.12623911540002908,35.55150270915879,2.2694998290571458,47071.794771940375,819332.8495637265,36.29569363623075,747482353.5017889,28253125.0,1215000000.0,0.023253600823045267,210224734.5746984,0.9294742732309592,0
fungible,nominal,1,0.75,1.0,0.0,781.25,22.69591482426304,0.905734182684607,0.8244468398823235,0.11106679469047477,30.818035680142355,1.916090365777201,46392.83644168176,740574.4330850015,35.46564044241937,974659443.8890982,26004687.5,1215000000.0,0.02140303497942387,211307693.1855664,0.9182632048900925,0
fungible,nominal,2,0.75,1.0,0.0,781.25,22.699738402305364,0.9043473514973559,0.8244113749912365,0.11273403435911893,31.309864286240366,1.9654885797267865,47774.9721517584,789435.5683437085,33.11981008748859,414067388.711684,26272656.25,1215000000.0,0.0216235853909465,211056980.56281123,0.9197818981129617,0
fungible,nominal,3,0.75,1.0,0.0,781.25,22.787465159674984,0.9219793683995839,0.8212088069707577,0.09114169020704559,25.894315008609354,2.204645070870055,41144.33682665291,739874.9109261704,33.71385098212701,1285935991.8479104,23538281.25,1215000000.0,0.019373070987654322,210340685.52101672,0.9058833898690261,0
