t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
470,341604557.01082504,2,0.0,6295089.845374595,7318879061,15.27462403369241,120.0,2,4.8753195427104014e+19,10285648.174540503,30989819504463.184,4487133.25262522,2.4379696695502455e+19,8450486.161392009,4.933099262416363e-09
471,163451323.80562425,1,0.0,6347761.649372215,7400427737,15.27500767506097,120.0,1,4.901411411501795e+19,9093184.50359709,27783557002309.312,4261830.612870066,2.4509835413209207e+19,8450486.161392009,4.933099262416363e-09
472,341604557.01082504,2,0.0,6311308.321161406,7303823180,15.27460296824668,120.0,2,4.8589104043774116e+19,10335641.46223801,31440971920549.074,4537126.5403227275,2.4297696119079113e+19,8450486.161392009,5.39512257091701e-09
473,163451323.80562425,1,0.0,6365160.016742283,7385371856,15.274650132926435,120.0,1,4.884936254567091e+19,9143177.791294597,28212182179018.633,4311823.9005675735,2.442750249105336e+19,8450486.161392009,4.933099262416363e-09
474,341604557.01082504,2,0.0,6328414.025905845,7288767299,15.274613204335827,120.0,2,4.842530581520308e+19,10385634.749935517,31897122994264.58,4587119.828020235,2.4215842619900965e+19,8450486.161392009,5.398760549724102e-09
475,163451323.80562425,1,0.0,6382174.621669797,7370315975,15.274301464750959,120.0,1,4.8684904131082715e+19,9193171.078992104,28645806013357.56,4361817.188265081,2.4345316646142693e+19,8448927.630815413,2.8085196390748024e-09
476,341604557.01082504,2,0.0,6345155.153868745,7273711418,15.274654497188028,120.0,2,4.826180074139089e+19,10436407.302921323,32358435439073.527,4637113.115717742,2.4134136214239355e+19,8448927.630815413,2.8085196390748024e-09
477,163451323.80562425,1,0.0,6398871.076365962,7355260094,15.273961170611098,120.0,1,4.852073887125338e+19,9243164.366689611,29084428505326.1,4411810.475962588,2.426327787847722e+19,8448927.630815413,2.8085196390748024e-09
478,342452440.9876845,2,0.0,6361504.058235069,7257807653,15.274745184141254,120.0,2,4.808684227988638e+19,10489712.637403438,32856678759865.95,4690418.450199856,2.404670680781918e+19,8462175.817953842,3.2159732654690742e-09
479,163451323.80562425,1,0.0,6415362.238645514,7339356329,15.273627849619583,120.0,1,4.834509216101695e+19,9289845.60760251,29543991444215.777,4465115.810444702,2.4175500479652897e+19,8462175.817953842,3.2014213502407074e-09
480,343300324.96454394,2,0.0,6377296.417645143,7241056005,15.274911327804434,120.0,2,4.790049378004065e+19,10549642.065454766,33392551135181.344,4747035.831466578,2.3953586145133842e+19,8462175.817953842,3.2014213502407074e-09
481,163451323.80562425,1,0.0,6431115.589965748,7322604681,15.273301104277706,120.0,1,4.815802734972452e+19,9346462.988869233,30052803300557.31,4521733.191711424,2.4082018955192316e+19,8462175.817953842,3.2014213502407074e-09
482,343300324.96454394,2,0.0,6392826.627022564,7224304356,15.275108387881945,120.0,2,4.771452290075527e+19,10606259.446721489,33933286138156.715,4803653.2127333,2.386065477899145e+19,8462175.817953842,3.2014213502407074e-09
483,168762917.62194848,1,0.0,6446033.00363519,7300541438,15.27299901949178,120.0,1,4.789789310304729e+19,9444577.196825989,30575313037820.98,4578350.572978146,2.3952004082827424e+19,8545169.471333908,3.1723175197839737e-09
484,348611918.7808682,2,0.0,6405799.507969314,7196929519,15.275363222670075,120.0,2,4.745241888331221e+19,10745996.202881174,34498374282736.227,4860270.594000023,2.372965927908438e+19,8544666.585282318,2.08092387765646e-09
485,168762917.62194848,1,0.0,6460651.957912632,7273166601,15.272414724482731,120.0,1,4.7634669764865384e+19,9501194.578092711,31096947005608.523,4634967.954244869,2.3820444577133253e+19,8544666.585282318,2.08092387765646e-09
486,348012983.16288185,2,0.0,6427184.52184931,7170153618,15.275258550561832,120.0,2,4.719152914949244e+19,10793255.21511686,35049739048855.242,4916887.975266745,2.3599269548651102e+19,8535308.216251284,2.6338966563344e-09
487,168163982.0039622,1,0.0,6481997.085673045,7246989636,15.271859109072118,120.0,1,4.738094310737945e+19,9553132.774843914,31624084228028.492,4691585.335511591,2.369363396211253e+19,8535308.216251284,2.6338966563344e-09
488,348012983.16288185,2,0.0,6419113.822278051,7143976653,13.579874467662957,120.0,2,4.693966425088176e+19,11510645.543604573,31295648701506.43,4466282.695756437,2.3472961690311033e+19,8535308.216251284,2.6338966563344e-09
489,168163982.0039622,1,0.0,6475316.841660677,7220812671,15.273963309131556,120.0,1,4.71279986862227e+19,10023064.895943977,28066590452170.082,4240980.056001283,2.3566806002156564e+19,8535310.447698927,2.86672729998827e-09
490,348012983.16288185,2,0.0,6441344.7424649075,7117799688,15.271174230678584,120.0,2,4.668858158860024e+19,11061381.498743685,31575034898171.285,4522900.07702316,2.334744829778994e+19,8617554.991590219,6.271875463426113e-09
491,168163982.0039622,1,0.0,6500449.35902054,7194635706,15.273127500023552,120.0,1,4.687583650139511e+19,9815747.619680693,28370477115603.86,4297597.437268006,2.3440755298409116e+19,8647172.689766943,6.322807166725397e-09
492,348012983.16288185,2,0.0,6465157.325314082,7091622723,15.271061118947255,120.0,2,4.643828116264791e+19,10911112.309187511,31969731734313.12,4579517.458289882,2.322233755449739e+19,8647172.689766943,6.788468454033136e-09
493,168163982.0039622,1,0.0,6524133.489146779,7168458741,15.272311687782677,120.0,1,4.66244565528967e+19,9675195.115145026,28735671877279.086,4355370.948772891,2.3315101843636077e+19,8642548.168814288,7.94170773588121e-09
494,259849001.1589197,1,0.0,6545754.33734844,7153609739,12.265484996898973,120.0,1,4.624498566895162e+19,9700755.731030267,30824986107838.36,4638447.100032931,2.3125575333086593e+19,8642588.251997929,7.70887709222734e-09
495,256327964.00792438,1,0.0,6544243.224267045,7142281775,15.273633230159804,120.0,1,4.524543466493306e+19,10257727.007924397,29607048640084.367,4414300.59051594,2.262567803733054e+19,8642588.251997929,7.70887709222734e-09
496,348012995.31674767,2,0.0,6496312.17951278,7039268780,15.270771716857393,120.0,2,4.480837323816813e+19,11156361.210083278,33092610993902.76,4697376.789252019,2.2407495880183456e+19,8641759.899291178,7.803464541211724e-09
497,168163982.0039622,1,0.0,6539734.133816189,7116104798,15.27222468254559,120.0,1,4.499735568064217e+19,9920236.78543599,29876979703202.996,4473230.279735028,2.2501665538291405e+19,8641759.899291178,7.803464541211724e-09
498,348013007.4706135,2,0.0,6491803.088731406,7013091791,15.272559545740702,120.0,2,4.456215585186879e+19,10872980.484702103,33556575984245.46,4756306.525947144,2.228443358353282e+19,8641759.899291178,7.803464541211724e-09
499,168163982.0039622,1,0.0,6556318.122916851,7089927809,15.270857024180566,120.0,1,4.475005877122134e+19,9648115.608684413,30277045809128.832,4532160.0164301535,2.237805709019158e+19,8641759.917538846,4.398316377773881e-09
